id,recency,history_segment,history,mens,womens,region,newbie,channel,treatment,conversion
1,11,4,457.33,1,0,0,0,1,2,0
2,11,2,167.21,1,0,0,0,0,2,0
3,2,5,680.43,1,0,2,1,2,0,0
4,1,5,706.07,1,1,0,1,0,2,0
5,4,2,153.26,0,1,0,0,1,2,0
6,9,2,179.51,1,0,1,0,0,2,0
7,10,1,52.73,1,0,0,1,1,1,0
8,6,1,30.82,0,1,1,0,1,1,0
9,9,2,154.58,0,1,1,0,0,1,0
10,1,3,343.13,1,0,1,0,0,2,0
11,9,1,29.99,1,0,0,0,1,2,0
12,6,1,47.73,1,0,2,1,0,0,0
13,1,1,29.99,1,0,1,0,1,2,0
14,10,2,159.5,1,0,1,1,1,0,0
15,10,1,29.99,0,1,2,0,0,1,0
16,10,2,113.26,0,1,1,1,0,1,0
17,10,1,55.58,1,0,1,1,1,2,0
18,1,3,279.83,0,1,1,0,0,1,0
19,2,3,209.5,1,0,1,0,2,0,0
20,4,2,170.75,0,1,1,0,1,2,0
21,8,1,29.99,0,1,1,1,1,0,0
22,1,5,505.77,1,1,0,1,0,1,0
23,1,3,323.98,0,1,0,0,0,0,0
24,1,5,569.06,1,0,1,1,2,0,0
25,1,1,29.99,1,0,0,0,1,1,0
26,2,3,204.28,0,1,0,0,1,2,0
27,12,1,29.99,1,0,0,1,1,2,0
28,3,1,34.22,1,0,0,1,1,1,0
29,12,2,146.43,0,1,0,1,1,2,0
30,1,1,69.17,1,0,1,0,0,1,0
31,9,3,208.97,0,1,0,0,0,2,0
32,12,2,150.06,0,1,1,0,1,0,0
33,1,4,462.67,0,1,1,0,1,0,0
34,1,7,1122.7,1,1,0,1,0,2,0
35,1,1,49.49,1,0,0,1,1,1,0
36,4,2,151.58,1,0,1,0,1,2,0
37,2,2,165.54,0,1,2,0,1,2,0
38,6,1,89.06,0,1,1,0,1,1,0
39,7,5,679.2,1,1,2,1,2,2,0
40,5,1,77.9,1,0,2,1,0,2,0
41,7,2,134.18,0,1,0,1,0,0,0
42,4,3,207.52,1,1,1,0,2,0,0
43,8,1,29.99,0,1,2,0,0,2,0
44,9,5,596.81,1,0,1,1,0,0,0
45,2,2,194.93,1,0,0,0,0,1,0
46,10,1,29.99,1,0,0,0,1,1,0
47,5,1,29.99,0,1,0,1,0,2,0
48,2,1,62.33,0,1,1,1,1,2,0
49,8,1,29.99,1,0,1,1,1,2,0
50,5,4,451.58,1,1,1,1,2,1,0
51,12,4,486.05,0,1,0,1,1,2,0
52,2,7,1607.49,1,1,1,1,0,2,0
53,1,2,102.64,1,0,0,0,1,0,0
54,10,3,261.97,0,1,0,1,0,2,0
55,10,1,63.12,1,0,2,0,1,0,0
56,5,5,520.61,1,1,1,1,0,1,0
57,3,3,322.23,1,0,0,0,0,2,0
58,2,1,59.96,1,0,1,0,0,2,0
59,5,2,139.39,1,0,0,0,0,0,0
60,3,2,168.13,0,1,1,1,0,1,0
61,7,1,76.05,1,0,0,0,0,1,0
62,1,4,411.71,0,1,1,0,2,1,0
63,12,1,71.58,1,0,1,0,1,1,0
64,4,3,224.6,1,0,2,1,0,1,0
65,10,2,147.52,1,0,2,1,1,2,0
66,11,5,622.07,0,1,2,1,2,1,0
67,6,3,337.37,1,0,0,0,1,1,0
68,10,2,140.92,1,0,1,1,0,0,0
69,1,5,557.94,1,0,0,1,0,2,0
70,1,1,29.99,0,1,0,0,1,0,0
71,2,2,146.18,0,1,0,0,0,1,0
72,1,3,301.59,1,0,0,0,0,0,0
73,4,2,174.61,1,0,2,1,1,0,0
74,10,1,29.99,0,1,1,1,1,1,0
75,5,6,768.52,1,0,1,1,2,0,0
76,9,4,424.53,0,1,2,0,2,1,0
77,10,1,29.99,0,1,1,0,1,2,0
78,10,3,245.09,1,0,0,0,2,0,0
79,2,6,984.05,1,0,1,1,2,1,0
80,9,1,86.89,1,0,1,1,1,0,0
81,9,6,848.31,1,0,0,1,2,0,0
82,2,1,29.99,1,0,1,1,1,0,0
83,2,3,321.5,0,1,1,0,1,1,0
84,1,2,137.51,0,1,1,1,1,2,0
85,2,1,29.99,1,0,1,1,0,0,0
86,9,1,29.99,0,1,0,0,0,0,0
87,9,1,80.23,0,1,0,0,0,2,0
88,9,1,53.45,0,1,2,1,1,1,0
89,7,3,318.89,1,1,0,0,0,2,0
90,2,4,462.33,1,0,1,0,1,2,0
91,9,2,131.79,0,1,1,0,0,1,0
92,3,2,125.81,0,1,2,1,0,1,0
93,7,5,595.45,1,0,0,1,0,0,0
94,4,1,67.93,1,0,1,1,0,1,0
95,3,1,35.85,1,0,0,0,0,1,0
96,2,2,133.52,0,1,0,0,0,1,0
97,10,2,120.96,0,1,1,1,1,2,0
98,1,4,429.02,0,1,1,0,2,0,0
99,11,5,589.57,1,0,0,1,0,2,0
100,9,1,29.99,0,1,1,1,1,0,0
101,10,2,104.7,0,1,0,0,1,0,0
102,1,1,29.99,0,1,2,1,1,0,0
103,8,2,122.41,0,1,1,0,0,2,0
104,6,1,53.63,0,1,1,0,0,0,0
105,4,6,762.35,1,1,1,1,2,0,0
106,6,1,80.02,0,1,1,0,1,0,0
107,1,4,458.32,1,1,2,0,2,2,0
108,2,1,29.99,0,1,0,0,0,1,0
109,1,4,358.8,1,0,1,1,0,2,0
110,6,1,83.56,0,1,2,1,1,2,0
111,10,2,139.67,1,0,1,1,0,2,0
112,4,2,121.6,0,1,1,1,1,0,0
113,4,4,469.4,0,1,0,1,0,1,0
114,7,1,29.99,1,0,0,0,1,2,0
115,3,7,1194.97,0,1,1,1,2,1,0
116,2,2,189.96,1,0,2,0,1,2,0
117,4,1,29.99,1,0,2,0,1,2,0
118,7,3,225.56,1,0,0,0,1,1,0
119,6,2,113.53,0,1,1,0,1,2,0
120,9,1,37.16,0,1,1,0,0,0,0
121,10,1,36.91,1,0,1,0,1,1,0
122,1,3,317.05,1,0,0,0,1,1,0
123,1,5,576.68,1,0,1,1,2,0,0
124,10,2,150.23,1,0,2,0,1,1,0
125,5,4,441.18,1,0,1,0,0,1,0
126,2,1,61.04,1,0,1,1,0,2,0
127,9,1,45.85,1,0,1,0,1,0,0
128,9,1,44.44,1,0,0,0,0,2,0
129,7,3,319.44,1,0,0,0,1,2,0
130,1,2,197.5,0,1,1,0,1,1,0
131,6,2,141.28,1,0,0,0,1,2,0
132,8,1,29.99,1,0,0,1,1,1,0
133,6,5,589.56,1,1,2,1,2,0,0
134,7,3,200.46,1,0,0,1,1,2,0
135,4,1,79.67,1,0,0,1,1,2,0
136,12,3,271.18,1,0,1,0,0,1,0
137,12,1,63.45,0,1,1,0,0,2,0
138,10,2,140.74,0,1,1,1,0,0,0
