id,recency,history_segment,history,mens,womens,region,newbie,channel,treatment,conversion
10001,5,3,301.54,0,1,1,0,1,0,0
10002,5,5,603.93,1,1,0,1,1,0,0
10003,6,3,208.39,1,1,0,0,2,0,0
10004,11,1,31.51,1,0,1,0,1,2,0
10005,10,1,29.99,1,0,2,1,0,1,0
10006,2,2,111.65,0,1,2,1,0,2,0
10007,3,3,246.14,1,1,1,1,1,0,0
10008,3,6,862.44,1,1,0,1,1,1,0
10009,2,1,82.97,1,0,1,0,1,2,0
10010,12,1,32.84,1,0,1,0,0,0,0
10011,10,1,96.7,1,0,1,1,1,1,0
10012,6,2,100.73,1,0,1,1,0,0,0
10013,7,2,145.69,1,0,0,0,0,0,0
10014,10,1,33.41,1,0,0,1,1,2,0
10015,9,2,138.56,1,0,2,1,0,2,0
10016,10,4,482.4,1,1,0,0,1,2,0
10017,10,5,686.45,1,1,1,1,2,1,0
10018,1,5,563.22,1,1,2,1,2,0,0
10019,10,2,156.77,0,1,2,0,0,2,0
10020,2,7,1403.07,1,1,1,1,2,2,0
10021,2,4,366.26,0,1,1,0,2,1,0
10022,10,1,78.5,0,1,0,1,1,2,0
10023,2,1,29.99,0,1,0,0,0,2,0
10024,2,6,795.23,1,0,0,1,0,2,0
10025,1,6,765.31,1,0,0,1,1,2,0
10026,9,4,496.84,0,1,0,0,1,2,0
10027,10,5,556.36,0,1,0,1,2,2,0
10028,2,3,312.86,1,0,0,0,2,2,0
10029,4,1,29.99,0,1,0,0,1,1,0
10030,1,2,176.06,0,1,0,1,0,1,0
10031,9,1,45.15,0,1,0,1,0,0,0
10032,7,2,104.98,0,1,1,1,0,1,0
10033,2,3,234.06,1,0,0,0,2,1,0
10034,10,4,350.61,1,0,1,0,0,1,0
10035,1,4,393.34,1,1,2,1,0,0,1
10036,1,1,87.0,0,1,2,1,1,1,0
10037,9,4,380.4,0,1,0,0,1,2,0
10038,2,2,141.26,0,1,2,0,0,1,0
10039,2,1,30.25,0,1,1,0,0,1,0
10040,4,1,65.67,0,1,1,0,1,1,0
10041,6,2,168.7,0,1,2,1,1,2,0
10042,1,2,170.93,0,1,2,1,0,2,0
10043,7,2,180.59,1,0,0,1,1,1,1
10044,2,3,236.43,1,1,0,1,1,1,0
10045,3,1,48.0,0,1,2,0,1,2,0
10046,7,3,218.07,1,1,0,0,0,2,0
10047,1,1,49.1,1,0,0,1,1,1,0
10048,2,7,1039.77,1,1,2,1,1,0,1
10049,10,2,175.82,0,1,0,0,0,2,0
10050,10,2,156.56,1,0,0,1,0,0,0
10051,10,2,178.35,1,0,1,0,0,0,0
10052,1,1,46.95,1,0,2,0,0,1,0
10053,5,2,167.51,0,1,0,1,1,0,0
10054,2,3,267.33,1,0,0,0,1,1,0
10055,12,5,561.27,1,0,0,1,1,0,0
10056,3,3,325.12,0,1,2,0,0,2,0
10057,1,1,60.68,0,1,1,1,1,1,0
10058,1,5,737.88,1,0,0,1,1,0,0
10059,8,6,767.74,1,1,1,1,2,2,0
10060,5,1,70.69,0,1,2,0,0,0,0
10061,7,1,29.99,0,1,1,1,0,1,0
10062,8,1,29.99,0,1,2,1,0,1,0
10063,6,1,33.18,1,0,0,0,0,2,0
10064,2,3,251.3,0,1,0,0,0,1,0
10065,2,1,61.1,1,0,1,1,1,0,0
10066,10,2,138.46,0,1,1,0,0,1,0
10067,2,1,93.56,0,1,0,1,1,1,0
10068,9,1,81.59,1,0,1,1,0,0,0
10069,5,2,110.78,1,0,1,1,0,2,0
10070,7,2,109.15,0,1,0,1,1,1,0
10071,10,2,138.02,1,0,2,0,0,0,0
10072,1,3,326.61,0,1,0,0,2,2,0
10073,3,6,768.9,1,1,0,1,0,1,0
10074,2,1,29.99,0,1,0,1,0,1,0
10075,6,3,220.86,1,0,1,0,0,2,0
10076,1,2,161.81,0,1,0,0,0,1,0
10077,10,2,190.32,0,1,0,1,1,0,0
10078,4,4,442.32,1,0,1,1,0,0,0
10079,10,1,29.99,0,1,2,1,0,2,0
10080,4,1,62.86,0,1,0,1,0,1,0
10081,10,2,144.85,1,0,0,1,0,1,0
10082,1,3,266.12,1,1,1,0,0,0,0
10083,4,5,651.35,1,1,0,1,2,2,0
10084,9,1,97.58,1,0,2,1,0,2,0
10085,7,1,79.15,1,0,2,0,1,0,0
10086,10,1,69.42,1,0,0,1,0,2,0
10087,10,1,92.97,0,1,1,0,1,1,0
10088,9,3,254.92,0,1,1,0,1,1,0
10089,10,1,79.92,0,1,2,0,1,2,0
10090,6,1,50.55,0,1,2,1,0,2,0
10091,6,2,125.96,0,1,0,0,0,1,0
10092,5,1,74.28,1,0,1,1,0,0,0
10093,11,2,186.56,0,1,0,0,0,0,0
10094,3,2,152.64,1,0,0,1,1,0,0
10095,4,2,160.99,1,0,0,0,0,2,0
10096,9,2,147.57,1,0,2,0,1,2,0
10097,1,2,189.15,1,0,2,0,0,0,0
10098,6,2,196.56,0,1,1,0,0,0,0
10099,7,3,219.93,0,1,1,0,1,1,0
10100,6,5,605.24,0,1,0,1,1,0,0
10101,9,4,420.85,1,1,1,0,0,1,0
10102,8,3,226.0,1,0,2,1,1,1,0
10103,2,2,107.51,0,1,0,1,1,2,0
10104,3,1,48.6,0,1,1,1,0,2,0
10105,2,1,29.99,0,1,1,0,0,2,0
10106,4,2,153.71,1,0,2,0,0,2,0
10107,1,1,94.24,1,0,1,1,0,1,0
10108,5,1,29.99,1,0,0,1,0,2,0
10109,3,7,1181.0,0,1,0,1,1,0,0
10110,12,3,223.32,1,0,1,0,0,0,0
10111,10,1,29.99,0,1,1,0,1,2,0
10112,9,2,116.63,0,1,1,0,1,2,0
10113,1,3,348.8,1,1,1,0,2,2,0
10114,3,2,183.43,1,0,0,1,1,1,0
10115,8,1,94.11,1,0,2,0,0,2,0
10116,3,1,80.92,1,0,1,0,1,2,0
10117,9,5,588.53,1,0,0,1,1,2,0
10118,10,2,195.93,1,0,0,0,1,1,0
10119,3,7,1040.17,0,1,1,1,0,1,0
10120,6,2,129.49,0,1,2,0,0,2,0
10121,3,2,169.42,1,0,0,0,0,0,0
10122,2,5,510.56,1,0,1,1,2,2,0
10123,10,2,114.71,1,0,1,0,0,1,0
10124,2,5,588.1,0,1,0,1,1,1,0
10125,3,2,185.22,1,0,1,0,1,2,0
10126,4,2,127.43,0,1,0,1,1,1,0
10127,2,5,509.17,1,0,1,1,1,0,0
10128,5,1,58.86,0,1,0,1,1,0,0
10129,3,5,740.04,1,0,1,1,2,1,0
10130,1,5,640.07,1,1,0,1,0,1,0
10131,6,1,44.24,1,0,1,1,1,1,0
10132,6,1,29.99,0,1,2,1,1,1,0
10133,2,3,287.92,1,0,0,0,1,2,0
10134,10,4,389.24,1,0,0,0,1,0,0
10135,2,5,533.37,1,0,1,1,0,0,0
