id,recency,history_segment,history,mens,womens,region,newbie,channel
30001,9,2,103.96,1,0,2,1,0
30002,9,1,29.99,1,0,2,0,0
30003,11,1,77.18,0,1,2,0,0
30004,2,3,303.45,0,1,1,0,1
30005,9,1,60.39,1,0,0,0,1
30006,10,4,360.88,1,0,1,1,0
30007,10,1,33.91,0,1,0,1,0
30008,8,2,135.08,0,1,1,1,1
30009,4,2,135.2,0,1,1,0,1
30010,1,7,1127.14,0,1,0,1,1
30011,2,1,62.35,1,0,1,0,1
30012,2,1,51.34,0,1,1,0,0
30013,8,1,29.99,0,1,2,0,1
30014,10,2,185.4,1,0,0,1,0
30015,11,5,527.24,1,1,0,1,1
30016,2,5,559.92,0,1,0,1,2
30017,7,1,29.99,0,1,0,0,1
30018,2,5,500.28,0,1,0,1,2
30019,6,5,500.67,0,1,0,1,2
30020,1,5,552.58,1,0,1,1,1
30021,7,3,329.71,1,0,1,0,1
30022,12,5,545.31,1,0,1,1,1
30023,6,1,65.85,0,1,0,0,1
30024,9,3,327.43,0,1,1,1,2
30025,6,1,29.99,1,0,0,1,0
30026,10,1,50.46,0,1,2,1,1
30027,9,1,99.53,1,0,1,1,0
30028,3,7,1003.72,1,0,0,1,1
30029,2,5,614.19,1,1,1,1,1
30030,12,1,46.82,1,0,2,0,0
30031,10,3,270.09,0,1,1,1,1
30032,4,2,137.44,0,1,1,0,0
30033,3,4,402.39,1,1,1,0,1
30034,2,2,185.85,1,0,1,0,0
30035,8,3,265.61,1,0,0,0,2
30036,4,5,659.23,1,0,0,1,2
30037,7,2,184.34,0,1,1,1,0
30038,6,1,29.99,0,1,0,0,1
30039,3,5,615.29,1,1,0,1,2
30040,10,5,684.57,1,1,0,1,2
30041,10,2,119.76,1,0,1,0,1
30042,2,7,1316.47,0,1,1,1,1
30043,5,6,792.07,1,0,0,1,2
30044,9,3,244.93,1,1,1,0,0
30045,2,4,420.7,0,1,0,0,0
30046,6,5,568.77,1,1,1,1,0
30047,1,5,583.19,1,1,0,1,1
30048,2,1,74.03,1,0,0,0,1
30049,10,3,228.77,0,1,2,0,1
30050,10,2,109.96,1,0,1,0,1
30051,6,1,38.52,1,0,0,0,0
30052,4,1,48.07,0,1,0,0,1
30053,12,1,29.99,1,0,1,0,1
30054,11,2,141.74,1,0,1,1,1
30055,6,4,379.62,1,1,0,0,2
30056,8,4,364.21,1,0,0,0,1
30057,10,1,80.6,1,0,0,0,1
30058,1,2,141.63,0,1,1,0,1
30059,9,2,193.67,1,0,0,0,0
30060,9,3,219.92,0,1,2,1,2
30061,10,1,29.99,1,0,0,0,1
30062,12,4,407.79,1,0,1,0,0
30063,4,4,478.61,0,1,1,0,2
30064,12,2,115.22,0,1,2,0,0
30065,2,4,486.74,0,1,1,0,1
30066,8,2,135.67,1,0,2,1,0
30067,10,1,29.99,0,1,0,0,0
30068,3,1,30.21,1,0,1,0,0
30069,3,2,168.49,1,0,2,1,0
30070,7,3,229.55,0,1,0,0,2
30071,6,1,29.99,0,1,0,0,1
30072,3,3,218.58,0,1,2,1,2
30073,8,2,106.36,1,0,1,1,1
30074,8,2,143.52,1,0,0,0,1
30075,1,3,229.78,1,0,0,0,0
30076,10,2,124.12,0,1,0,1,0
30077,8,1,70.84,0,1,1,0,0
30078,11,3,229.47,1,0,0,0,2
30079,11,2,187.19,0,1,1,1,0
30080,8,2,104.18,1,0,1,0,1
30081,3,4,359.34,0,1,0,1,1
30082,9,3,288.54,1,0,2,0,0
30083,1,1,66.75,1,0,1,0,0
30084,1,1,88.2,1,0,0,1,1
30085,2,3,236.1,1,1,0,1,0
30086,12,2,103.34,1,0,1,1,0
30087,1,2,129.61,0,1,0,0,0
30088,10,2,154.98,1,0,0,0,0
30089,10,1,91.35,1,0,0,0,0
30090,3,3,260.66,0,1,0,0,2
30091,1,5,548.54,1,0,0,1,2
30092,1,2,107.89,1,0,0,1,0
30093,6,1,49.35,0,1,2,0,0
30094,5,3,224.49,1,1,1,1,2
30095,3,3,273.66,1,0,2,1,2
30096,9,2,190.81,0,1,1,1,0
30097,7,1,45.14,0,1,1,0,0
30098,10,1,53.6,0,1,1,0,0
30099,4,1,64.95,0,1,1,0,0
30100,9,3,218.99,1,0,1,1,0
30101,10,2,135.24,0,1,1,1,0
30102,12,3,240.76,0,1,1,0,1
30103,5,3,228.11,1,1,0,1,1
30104,2,2,170.0,0,1,1,0,0
30105,1,1,29.99,0,1,1,1,0
30106,7,1,29.99,0,1,1,0,1
30107,9,4,485.03,1,0,1,0,1
30108,9,1,64.09,1,0,1,0,1
30109,4,2,164.7,1,0,1,0,1
30110,1,2,140.55,0,1,0,1,1
30111,2,1,88.22,1,0,0,0,0
30112,9,1,35.02,0,1,1,0,1
30113,12,2,168.03,1,0,2,0,0
30114,9,4,405.89,1,0,0,0,1
30115,11,1,29.99,1,0,1,0,1
30116,7,1,86.56,1,0,1,1,1
30117,11,2,128.13,0,1,1,1,0
